source_id,ra,dec,pmra,pmdec,x_arcmin,y_arcmin,R_arcmin,dpmra,dpmdec,pm_speed,pm_tan,pm_rad,theta_deg,membership_prob,parallax,parallax_error,dist_pc_raw
6083515927169135872,201.9163644601407,-47.53070218025078,-2.89203576272224,-6.840852270877056,9.01621002932727,-2.7421308150466928,9.423976055772336,0.3520790618293623,-0.05505750114414365,0.3563579579732734,0.04977059024701213,0.35286524702405214,106.91626938991658,0.9771271566660044,0.6259242069313588,0.20441744,1597.6375237228424
6083515961529067904,201.93474513472967,-47.52081570722039,-3.756534608913405,-6.902149023769326,9.761491098388344,-2.148942433223624,9.995231965553574,-0.5124197843618026,-0.11635425403641353,0.5254639358107904,-0.22380187283132785,-0.47542093933161655,102.4153368996031,0.937924785095508,-0.2542094187792941,0.24625933,
6083515995888516608,201.90372530254,-47.53568399883337,-3.581848359273548,-6.502375441680701,8.503730204766002,-3.041039930002256,9.031132334946586,-0.3377335347219459,0.2834193280522115,0.44089733044025897,0.15314362413116095,-0.41344586873896877,109.67768338722988,0.9469659503344704,0.1799516186588041,0.12397263,5557.0492082988285
6083515995888698112,201.91442605077827,-47.52627087583211,-3.776190130222653,-7.258943246366947,8.937613360042217,-2.4762525499266985,9.274306403425737,-0.5320753056710505,-0.4731484766340346,0.7120207945320484,-0.5980362020840958,-0.38642762950244636,105.48590873458845,0.970810559457679,0.1773088795408244,0.33361614,5639.875468107933
6083516030248532736,201.92498325406493,-47.52102569339807,-3.752030980562104,-7.957966553465358,9.365676199286064,-2.161541603884416,9.611875611720984,-0.5079161560105017,-1.1721717837324457,1.2774840555228029,-1.2563690757871981,-0.23130555012928045,102.99596263951203,0.9750558257052726,-0.3314974873288093,0.22478433,
6083516064608413184,201.9532241611496,-47.51369160986027,-2.903856576124298,-6.650791544120439,10.510760038371389,-1.7214965916160452,10.65080405881033,0.34025824842730445,0.1350032256124729,0.36606221677276324,0.1882242798464919,0.31396363965411506,99.30155879723286,0.9920850022190122,0.4531710018762186,0.24887638,2206.672527279548
6083516129033313920,201.9502947760784,-47.50517194065812,-2.888122326916932,-7.139000821811408,10.391982284759793,-1.2103164394874,10.462225465476015,0.35599249763467045,-0.3532060520784954,0.501482974384024,-0.30965184936404444,0.39446280658951205,96.6431026592187,0.9833791609836312,0.201480960803687,0.037770666,4963.248120373766
6083516133328035456,201.94107517504307,-47.50515597226495,-3.577318638400034,-6.786923321050843,10.018155193557217,-1.2093583358971216,10.090886039729181,-0.3332038138484319,-0.0011285513179304374,0.33320572502767365,-0.041053759842911965,-0.3306669684047352,96.88324924708556,0.983283917254284,-0.1410753263977127,0.120676056,
6083516167687830400,201.95701398098004,-47.50200227932421,-3.645718768121819,-7.445213507327885,10.664425833449327,-1.0201367594525834,10.71310680265663,-0.4016039435702168,-0.6594187375949732,0.7720873001043975,-0.6946643306122932,-0.33698704241776495,95.46416887491027,0.9429815895443804,-0.5548021487662567,0.6286445,
6083515652290547840,201.8145122783081,-47.56512157094562,-1.4428659677223938,-6.95387371867192,4.886410407719765,-4.807294256737293,6.854712593794973,1.8012488568292084,-0.16807894893900777,1.8090737899005038,1.143422200672639,1.4019035802486242,134.53238508364595,0.9143428536158852,0.511764107643905,0.23960195,1954.0252727059526
