source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe
4065741047482436096,271.568602139423,-24.969608883779735,0.21008456,0.191408,-0.06498581181075452,0.23757169,-0.09932209355097256,0.2777554,-5.340072386447997,0.20085953,18.74528,20.024096,17.582785,2.441311,1.0549899
4065741047485090432,271.5712949604257,-24.98044811150377,0.50774133,0.4539122,-0.02194646926185105,0.5398817,0.7439458189769651,0.6476035,-1.2778857467642533,0.47736806,20.005466,21.048677,18.950207,2.0984707,1.0150772
4065741047495101312,271.56313338307916,-24.971356184404602,0.38783598,0.3503597,-0.0978968193039389,0.44157282,-1.41542178703528,0.4821318,-1.673537572937458,0.34674066,19.651056,21.455269,18.184776,3.2704926,1.012824
4065741081842116480,271.5814408697553,-24.97005440335556,0.15633248,0.14158897,0.09618271655277896,0.17821738,-7.617750882795664,0.20552568,-4.38328039134335,0.14958233,18.262476,19.633429,16.914183,2.719246,0.88035864
4065741081844910208,271.57651733960734,-24.963713933436036,0.5009636,0.46433336,0.6181989353324825,0.5716695,-0.5781685602898275,0.6474416,-1.662870163464854,0.44569632,19.697845,20.877356,18.745275,2.13208,1.2065616
4065741111849278208,271.67172898292677,-25.030099395287465,0.081009306,0.07020772,0.6624511608413604,0.08711157,0.1823113903674414,0.09921617,-3.8281853741054674,0.07034874,17.008352,17.786709,16.091225,1.6954842,0.99416643
4065741111853743360,271.67104188091747,-25.034171841570522,0.32143342,0.27520138,-0.6414844717825773,0.3294906,-3.769431030486211,0.41274074,-11.314851345881593,0.2892265,18.951069,21.802011,17.340162,4.461849,1.0782664
4065741116215284224,271.67887925164797,-25.02514677476163,0.499954,0.43977103,0.9516777841450644,0.56166595,-0.270826253046492,0.5865744,-1.9273196305787836,0.39951968,19.51441,21.12859,18.015429,3.113161,1.1044979
4065741116215291392,271.6671579235829,-25.02725090465759,0.04511746,0.039622705,0.348690976156375,0.051912867,-2.001244026908407,0.05688831,-2.487194364649767,0.04021499,11.117292,13.518395,9.736261,3.782134,0.6852947
4065741146213490432,271.68254143760726,-25.00798947893921,0.33329636,0.28757623,-0.22670623133421797,0.3402331,-6.198283757087816,0.41576946,-6.9443517506977885,0.28707308,19.04016,21.011982,17.390701,3.6212807,1.048008
4065741150575030528,271.6789956850393,-25.01484783365291,0.34726718,0.3088918,0.6034939135106118,0.3838424,-2.9148779173895547,0.41933334,-1.5664384401181906,0.2865324,19.35367,20.661835,17.887012,2.7748222,1.0564839
4065741180573214976,271.6637329840365,-25.0192148301769,0.3445081,0.3071985,-0.736542546281953,0.40990698,0.0023879070124744888,0.42338747,0.2415916547988503,0.2890102,19.200275,21.888329,17.50076,4.3875694,1.1781472
4065741214932964352,271.67892888573965,-25.002676110167247,0.2231116,0.18792781,0.010709301973620383,0.22177519,-5.137654014992716,0.31727973,-3.9606147911326746,0.22553493,18.516634,21.17722,17.142668,4.0345516,0.9664261
4065741219280612992,271.6759719397146,-25.007105864010626,0.50042266,0.43822083,0.244416332989576,0.587873,-2.335535412630599,0.6060834,-6.592142084357772,0.39365542,19.69051,21.028881,17.951513,3.0773678,1.1078858
4065741219280625280,271.672298514313,-25.007890428303156,0.9639955,0.7308727,0.6890759107795301,0.85161763,-1.0587517951532934,1.1712583,-1.5449883135793627,0.7122802,19.893469,21.6034,18.735676,2.8677235,1.0915787
4065741249292714496,271.6978208172028,-25.006085853088546,0.23626614,0.2044509,0.3683912749033831,0.23061946,-2.1923981620520943,0.31209406,-10.129650404149768,0.2170794,18.475662,20.649067,16.865147,3.7839203,1.0169485
4065741283668885760,271.70841770674497,-24.997868921476293,0.5538353,0.4969502,0.33844489499663816,0.5922547,-2.8214060949628834,0.6864396,-7.256861104838669,0.45775717,19.808918,21.685299,18.40486,3.2804394,1.0757347
4065741288007527296,271.70167042351,-24.998270046931943,0.3512287,0.31102636,1.4109430121835078,0.35465965,-0.9174911927443553,0.42569187,-1.1412233934638067,0.28832486,19.215986,21.108204,17.85845,3.249754,1.0268035
4065741318023744768,271.6735650302575,-24.995099177231513,0.08602273,0.0762303,0.7609580125297758,0.09399635,4.529818771392555,0.10729678,-7.52169950429795,0.07596716,17.193636,18.163015,16.133009,2.0300064,1.0133791
4065741352372546176,271.69417431288576,-24.991479469371324,0.48649323,0.42490327,-0.10753461899506786,0.46381456,-0.48572510046540485,0.6186125,-10.543761657575278,0.41591254,19.668402,21.619059,17.961248,3.6578102,0.91447705
4065741356727003008,271.69216848349475,-24.99012028768618,0.42679858,0.37265503,-0.660190699528547,0.43737245,-1.2107611633853248,0.5788538,-2.0437852018869833,0.35702533,19.536406,21.37785,18.182913,3.1949368,0.90847903
4065741356727003264,271.6823389260921,-24.98346354772893,0.26082718,0.2282407,0.6364542933987304,0.2643948,-2.930468823640981,0.32963097,-5.731869862432244,0.23096251,18.972027,20.390455,17.863285,2.5271702,0.97704315
4065741356733481216,271.6912163979789,-24.977051147815526,0.5049031,0.44320208,1.1835819664479932,0.50200635,-2.591226183592039,0.6234395,-18.550266532034478,0.41368732,19.739122,20.493076,18.26783,2.2252464,1.0409032
4065741356734154624,271.68923606461306,-24.987923308133293,0.11355179,0.09807511,-0.17696202511271253,0.124567024,-6.422731202948671,0.16064869,-6.254831403188595,0.106884666,16.781374,20.69813,15.182549,5.51558,1.3507158
4065741391079389824,271.6507374819246,-25.007417930902776,0.0870643,0.07627683,0.7207546124560892,0.097800724,-1.6213068045766392,0.10711875,-3.3400056046314814,0.076718114,17.228348,18.138176,16.306112,1.8320637,1.0695413
4065741391079430400,271.64628357789906,-24.999647770611855,0.6502933,0.5649237,1.908339913870788,0.6811324,-6.640133785047651,0.77353257,-11.2815623492501,0.5410813,19.83891,21.945776,18.165684,3.7800922,1.3359405
4065741391081942528,271.6482549992863,-25.00990179284898,1.1747541,0.91607714,-0.13161660157760835,1.0131379,-0.7913738497284465,1.387105,-6.16277082459968,0.9525862,20.280634,21.7624,19.121199,2.641201,0.9992316
4065741425439155712,271.6570742268519,-24.994179055810694,0.49597257,0.4836607,-0.20511604414946744,0.5241351,-1.9746358037400182,0.48727292,-3.5904206918905714,0.37619734,19.517796,21.254107,18.28827,2.9658356,1.0130087
4065741455451711872,271.63573371037864,-24.995175045315253,0.21429676,0.18834105,0.2970376708699048,0.2418011,0.2989023025596974,0.2861606,-5.83546959329424,0.19042908,18.492846,20.657003,17.127113,3.52989,0.86672294
4065741459798924672,271.64395360869077,-24.996933583988305,0.36850217,0.33779988,0.8245430308114448,0.42910206,-0.5469500503375779,0.455575,-3.9470760328878214,0.3132873,19.600864,20.948393,18.455563,2.4928303,0.99713504
4065741459798947456,271.63328367171835,-24.99975487287762,0.4462026,0.40833476,0.9351245902803385,0.5251602,-5.840729598211542,0.56548655,-9.970542648222693,0.38835257,19.749985,21.754229,18.248434,3.5057945,1.089298
4065741489811459328,271.64603991523836,-24.987040642800576,0.17902747,0.15677172,-0.24476978004048838,0.19869551,3.9237972528099636,0.22749637,-7.507338614088178,0.15813445,18.26154,21.552828,16.770582,4.7822456,1.025029
4065741494158702848,271.64423783296513,-24.985592646662,0.23599035,0.21244399,0.26690987376806063,0.27683023,-0.37225698897977777,0.29740742,-1.922885993467917,0.21583697,18.918257,20.157694,17.167782,2.989912,1.059496
4065741524166183936,271.66920391854427,-24.98500949345553,0.102040425,0.094468065,0.39036399494949536,0.11008512,1.1323094190364367,0.11929289,-2.4681858314527583,0.09023786,17.384657,18.079426,16.454842,1.6245842,0.9511002
4065741524171221760,271.6752464165235,-24.987186477591493,0.3843003,0.344257,0.2408326249502542,0.4037318,-7.078059167626343,0.47971383,-8.804083580442075,0.32451388,19.355577,21.403685,17.86342,3.5402641,1.0821136
4065741528518335104,271.6750856323531,-24.988324184943355,0.5263064,0.47647098,1.1059686728200715,0.55410725,-1.7105225191249167,0.65863323,-1.407889349154851,0.44460556,19.771776,21.772842,18.66966,3.1031818,1.1352086
