source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
4418733272625976576,229.25246347469522,-0.10200289966256447,0.08311579,0.06845039,0.07471233717811471,0.09192995,-5.2716596113255445,0.10328066,-1.261679192213805,0.08246273,17.454306,17.826052,16.928854,0.8971977,0.9682858,0.0,window,13.845761324862588,0.01,0.9750084609397445,0.0,False,,
4418887341691732224,228.85466740355196,-0.30761089502592076,0.49932504,0.43157434,0.013262470127626567,0.5234747,-0.07519453673918211,0.7419751,-8.734410238914753,0.5931312,19.898624,20.686577,19.145609,1.540968,0.94787663,0.0,window,15.459393980782025,0.01,9.997426084250247e-06,0.0,False,,
4418910843752787968,228.8664740476803,-0.28549920359361153,0.3665654,0.30712715,-0.28522769940144843,0.3890056,-0.6642855490527126,0.512255,-3.0845385638378957,0.4279799,19.674536,19.907036,19.241665,0.66537094,0.94219244,0.0,window,13.99403604597512,0.01,0.8748093893456349,0.0,False,,
4418913214574810752,228.993885863245,-0.1844970997301901,0.69314253,0.6252433,0.8345089055008973,0.7345988,-1.244139206938971,1.1708353,-2.715427272675636,1.139024,20.353727,20.590988,19.951756,0.63923264,1.0316323,0.44893875210826434,window,4.685679641982049,0.6055220667713598,0.9943008728809879,0.5890188875017766,True,,
4418913592531934464,228.9963437023614,-0.1821270516583198,0.77424246,0.6154974,0.774126041120436,0.77393955,-3.7322909178306576,1.1532909,-4.33020990498407,0.9372845,20.448238,20.80366,19.830671,0.9729881,0.9394681,0.14142920058416672,window,4.5008746696898765,0.6273862587132845,0.38953889096776884,0.19184953204632732,False,,
4418914284022586240,228.93775780116866,-0.16291205153150265,0.32628202,0.2852505,0.5671485459249447,0.3590892,-1.6626996740918027,0.43445256,-12.271740582869331,0.38899347,19.634033,19.92258,19.172403,0.7501774,0.9735867,0.0,window,5.913215185210195,0.45763810898660656,0.9976828022172582,0.0,False,,
4418914795122855808,228.96514886906598,-0.12138619701298388,0.56299156,0.5011277,0.4607403888227668,0.61500776,-2.577132983722329,0.8701598,-2.816757903433744,0.8260983,20.376217,20.828112,20.077425,0.75068665,0.87612885,0.9662253354681792,window,3.455316752971464,0.7422187388346194,0.9214155236042767,0.9643458387217569,True,,
4418915104360818944,228.95729643184694,-0.10951168338276823,0.6835843,0.57711935,0.3934449338453299,0.70110875,-3.4812153043026948,1.0804579,-19.601512145802833,0.94559556,20.363499,21.28379,19.151426,2.1323643,1.070705,0.0,window,3.878231362462496,0.6980252106518602,7.650077530898455e-10,0.0,False,,
4418915791555200128,228.82657527426858,-0.17122996820703615,0.21615556,0.20152354,0.383050068081522,0.24697164,-10.309475111383598,0.28332472,2.2462608440885763,0.25438324,19.02173,19.608574,18.459482,1.1490917,0.99949205,0.0,window,12.253424527509848,0.03038247559517632,0.3550516360693052,0.0,False,,
4418919639845936000,229.0344719746616,-0.14167889588236304,0.16807967,0.15543702,-0.07296342028905357,0.19262113,-2.414193209762365,0.24413757,-2.805000671926126,0.2022162,18.551184,19.04253,17.967062,1.0754681,1.0780642,0.39044619125635155,window,1.956031218851485,0.8627073267064556,0.6440148804999305,0.5740397552826192,True,,
