source_id,ra,dec,radial_velocity,radial_velocity_error
5921752645455948160,265.3951747692796,-53.57791320436412,-9.4690075,8.208338
5921753336965881344,265.2237723058829,-53.57045088179461,17.95163,6.662913
5921753474404498176,265.22221365529913,-53.54310176618057,5.0784774,5.6012816
5921754986233462912,265.119048825725,-53.582043497343946,-50.790745,5.022841
5921757009141923328,265.1756217322791,-53.49187134868261,35.09793,0.5406142
5921759242525397248,264.9232945361467,-53.67443509572403,-34.587868,8.6208935
5921759315559841920,264.90073479397336,-53.65898187084824,-3.4804087,5.167992
5921760208913783296,264.80170867583956,-53.6356925651295,47.132397,8.219375
5921761136625999872,264.8797969856007,-53.61256420260702,-50.535496,3.693515
5921767768056170368,264.879491500093,-53.49749208109069,68.40338,6.7215023
5921776422394103936,265.3346823321339,-53.522335461654244,-34.192,1.5194875
5921776422395074816,265.3512379343753,-53.523763409403834,-16.441963,3.7812428
5921368954567656320,264.9790667252748,-53.90510967586438,-45.840076,1.4435166
5921368988927397760,264.9750399565094,-53.900679682821426,13.426382,8.494364
5921696192405075456,265.38844578231857,-53.86164567875265,-31.301308,2.1398764
5921703373590749184,265.4005337248364,-53.69571913991297,16.379168,6.021257
5921703652781168768,265.5654682149538,-53.71846227950964,18.428642,0.32807475
5921703687140901504,265.6050315713375,-53.734731441016834,-19.94081,9.217908
5921703785907214080,265.57651689983413,-53.70572676219911,-66.16579,4.95071
5921704752293085184,265.46974332926067,-53.68381135269309,25.97842,0.9964878
5921728357434336256,265.59432433439224,-53.593626749222636,-6.4549947,5.6960945
5921728975909666560,265.5054094881092,-53.57915052258648,-8.088415,1.0087855
5921729560025258240,265.5034129420326,-53.52394010107558,-62.192165,6.0382843
5921742474972681472,265.1985208263158,-53.83793798827464,-16.669746,9.773707
5921742582366835712,265.2535901977169,-53.84904475416072,-169.70836,7.5143995
5921743471405039744,265.26993203035244,-53.80778172359023,19.510666,0.572696
5921746391982792832,265.05799911804945,-53.72720896598843,29.341255,1.1108818
5921746465017201536,265.03030639750324,-53.798535206351936,40.354794,5.622389
5921746671175997952,264.9977995763973,-53.75361781292249,-79.74817,7.0438395
5921748148644707968,265.1209864137151,-53.69710036966862,10.8159075,7.2973766
5921748178695422464,265.11202417290616,-53.67334188088621,16.521528,1.13134
5921748213055193216,265.13963019967565,-53.6789871627158,17.81688,3.1568031
5921748213055222528,265.1621074831339,-53.68270747019561,12.305637,0.50078887
5921749209481328896,265.048259114511,-53.645094975127016,-3.7325659,8.889036
5921749900991923968,265.38129313125813,-53.72110084457829,-19.93601,5.4269514
5921749969711409280,265.35640876129884,-53.702423746550245,23.573586,4.787908
5921750794345197312,265.2873628624638,-53.625793718513236,17.185106,1.1169641
5921751236712263680,265.2097307493626,-53.65226215480012,11.905904,13.098996
5921751889540915712,265.19331694972954,-53.58710849267401,-35.683422,0.64397156
5921752581051277056,265.36414284445294,-53.587129791286614,-89.325645,6.5680947
5921752718490237952,265.3558965777651,-53.556237962894805,19.66338,3.558784
5921753474404840960,265.2341774105515,-53.55055905024821,32.073715,5.2606134
5921753508764581632,265.1992619204771,-53.55330934568095,8.1592655,8.675288
5921754058520057344,265.2078961884356,-53.49869932052886,-66.494194,10.44659
5921754088564161280,265.1928278481319,-53.483249115338,22.17004,0.46212465
5921754260369159168,265.1498107989942,-53.629765980792385,30.391253,8.57538
5921754402117189504,265.0985692727,-53.63475111453557,44.952785,3.8562126
5921756253227679744,264.96319085157444,-53.49458182534934,-31.297949,1.1774957
5921757288335470720,265.1236726890107,-53.4708346625415,-80.9485,29.12826
5921757490178261760,265.02525726973454,-53.502802623316036,-58.979813,0.58866525
5921761067907240960,264.8531458218767,-53.63024363017654,-128.52937,2.8918362
5921761583302616448,264.8711790383832,-53.572585578192864,-78.8056,3.6015773
5921767355738655872,264.9323219121816,-53.551171546542896,52.06938,13.149063
5921767626302045440,264.8924254212433,-53.52817608436226,-60.862576,2.0191374
5921767901180029184,264.95012728745706,-53.501300741727526,1.3783246,3.906493
5921368984616740352,264.9787275253579,-53.894374035937176,23.115055,5.354169
5921371011841187968,264.9741404036503,-53.83293300348123,-48.54163,2.3696308
5921383106469093376,264.8765443826445,-53.791266140067805,-21.00673,4.224001
5921703584061687680,265.5934715528312,-53.73475248281066,-64.79083,2.411119
5921704408695420928,265.553873118191,-53.67044553981478,18.493559,1.5073857
5921728666672016640,265.54214073049604,-53.5647792936249,-34.66746,2.109904
5921731037494011904,265.50956496102646,-53.51489444538181,-54.727604,3.9262655
5921741615979181440,265.3621155451668,-53.88140145619092,-41.26585,9.489767
5921742479287655040,265.17501588238264,-53.833625029192866,23.155907,0.31493214
5921742582366847360,265.2355775462213,-53.83886277802166,-158.1458,4.53474
5921742994683744256,265.19467012580606,-53.7972129034885,15.961053,6.0288935
5921745258117741056,265.1759415894015,-53.689835069433315,24.755547,0.17316209
5921746087060275072,265.1189594966813,-53.7651208255367,-10.617622,9.6422
5921749763552968832,265.36580745760625,-53.736470374047414,4.356973,8.812819
5921750034115404416,265.31619614271597,-53.71576985000875,-1.4301157,10.803685
5921750102834534272,265.2875062499403,-53.70741324693675,83.099335,0.630645
5921750210229984256,265.29533133658566,-53.691910979493876,23.071075,8.316012
5921751722058330752,265.1736125221198,-53.616309471546174,18.56715,8.733749
5921753096447690240,265.25799522970493,-53.60033752821723,-205.99103,7.656981
5921754402117191680,265.09833200852677,-53.632824993632035,-50.113316,6.856508
5921760243272816000,264.77872353812046,-53.64807968376135,19.190811,5.1549926
5921760827388338688,264.90982683003284,-53.63366148187985,-50.843563,3.5328944
5921761136626004736,264.86875422008734,-53.60735052797365,-94.86443,2.159084
5921761411503904512,264.9343115081959,-53.58243983939403,-43.99778,5.4649343
5921768008574274048,264.9351632116775,-53.47781560364476,-52.83283,8.005061
5921370878713075840,264.92819326267613,-53.8331414245431,-96.4845,7.204376
5921371321079008128,264.9375369862902,-53.80825799060611,-22.802004,2.0121884
5921382526664390912,264.9034545385081,-53.83459055421863,-27.85894,0.76617914
5921383076420237696,264.8914958500561,-53.786714375393885,-25.715021,1.2430117
5921703270511141888,265.43246550551316,-53.731739813861374,30.986977,5.2915893
5921728112601967360,265.5445012235885,-53.608911534529284,-6.0188203,0.5879687
5921728975909664896,265.502440587135,-53.58394206038189,7.718977,7.447813
5921731106213506560,265.482749843378,-53.50379629243396,-12.826408,1.2649927
5921741207977273728,265.29377666156444,-53.91505894218987,-56.529377,2.83429
5921741650338907648,265.35160181487,-53.860859174563444,73.7561,0.33038443
5921741860813720320,265.2768638070442,-53.85111990052502,19.885798,1.65146
5921742101330492160,265.22206116062125,-53.88412634346413,-129.38113,7.165361
5921742234454489600,265.2107829575018,-53.86088854654046,-75.90677,1.2866509
5921743475720046208,265.2754463345762,-53.80866250133864,-88.55545,6.4818497
5921744021160850432,265.28648695613003,-53.76761521641815,23.456032,2.84822
5921744536557105920,265.20520863043265,-53.77050234653044,-40.999756,7.422715
5921744845800709760,265.22702336831094,-53.73979653807726,4.380164,8.937449
5921745606023740800,265.06230411413134,-53.82429251866919,132.34038,11.028433
5921745842227174272,265.0443076937126,-53.76742613074805,13.305534,5.302913
5921746018340781184,265.1348703953908,-53.7711406813755,22.307772,1.2553008
5921746327578555520,265.0859263124376,-53.7347941665829,-45.159527,3.234732
5921746327578557056,265.08313170214495,-53.73469105860625,13.657733,5.967568
5921747560214185600,265.134677258641,-53.73850639882488,-56.751713,5.529866
5921747633248537856,265.1279717359344,-53.730067392623134,16.513468,7.905309
5921747835091802496,265.0855095869934,-53.71241548770711,18.067715,0.7154988
5921747938171017984,265.1003350708083,-53.71474169267256,17.17664,0.5596571
5921748457882445568,265.07879634352855,-53.65599533160394,19.002426,8.364307
5921749729193228288,265.3641640318127,-53.74862886294106,17.22672,5.662537
5921750205913747968,265.30574653885947,-53.69571978978927,20.08301,11.89479
5921750313308794752,265.37860556629084,-53.69127919804193,-21.821907,10.704209
5921750377712888192,265.3485837927865,-53.67939674643387,25.520988,3.5145566
5921751000496772224,265.2613540847278,-53.6631841632744,-52.36875,3.2203388
5921754333398481152,265.12502594249656,-53.61823598882095,18.926449,0.78011817
5921754883154228224,265.12599510690404,-53.57286489064126,12.096418,9.50174
5921754917517726720,265.1501616514238,-53.564016926189105,26.37525,1.501596
5921759075041640448,264.9223350560954,-53.707771797748585,21.16307,5.322516
5921760346352026624,264.8238511660497,-53.62829187967112,1.4808965,2.6425545
5921760621229956480,264.75633270657823,-53.598636593521604,29.236423,3.8447154
5921767424458140672,264.91848420078196,-53.53455678168319,-14.530729,4.656834
5921768279136105728,264.9009732426599,-53.46725793412743,-37.32333,4.27628
5921369229445590272,264.9281832466153,-53.89291715353207,-37.204937,0.43267456
5921382870263415808,264.82490162959,-53.80798915725774,-35.98201,0.14397325
5921384210291685376,264.76361043560615,-53.74375246082658,-64.59184,10.567405
5921702514596903552,265.4496735215481,-53.78631257133019,20.690594,1.8518499
5921703274824327296,265.4277369503812,-53.721586369740386,17.053474,0.98719704
5921704202536984704,265.5934086532209,-53.688568910922086,23.718159,6.801082
5921704786658829056,265.4891319287441,-53.67830760323036,-3.2372284,8.252129
5921728765437911552,265.5293926080987,-53.53883307496698,-40.088264,2.2762775
5921742719805813120,265.23534102911975,-53.81357160588274,-46.250942,1.3818554
5921744296038758528,265.2111867913949,-53.78282958556507,19.04891,2.0664196
5921744712670734592,265.1618936455392,-53.741567149958236,18.151293,4.2945333
5921745361190717696,265.1217972803872,-53.828486148035914,-23.027327,4.4849243
5921745709103182720,265.041651043246,-53.79228100029617,-12.250742,5.8295703
5921745812182394496,265.0452236296447,-53.79275625774304,-20.976103,0.4554311
5921747766378420480,265.12738166415664,-53.70321387122937,14.533258,3.9352984
5921748011205814400,265.0616044203615,-53.69566665400083,17.7171,3.2557623
5921748487933063552,265.1079495295671,-53.66055296936125,15.665309,0.8347322
5921750824395198848,265.26953718015034,-53.71265484106092,-20.455261,5.986596
