source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
6440133143424730752,287.6331269797752,-60.77315990252303,1.613643974147137,0.63009506,-2.776469664487242,0.5194012,-11.700499398139538,0.49300802,20.05509,21.102179,19.03871,2.063469,1.0920528,0.0,gmm2,47.38067562527562,0.01,3.822685094333625e-12,0.0,False,,
6440133791965950336,287.50996255207974,-60.78957289914719,0.3487044712668514,0.17371087,-1.3847371302736835,0.1414432,-5.278068794308389,0.13111416,18.282639,18.710773,17.681463,1.0293102,1.0500014,0.0,gmm2,48.69686043144908,0.01,1.1937949340289171e-05,0.0,False,,
6440133791968269312,287.5181283063586,-60.78283461968983,0.3389923661705647,0.47781503,0.2858747354987065,0.4148268,-5.496130764208339,0.37172088,19.810642,20.268984,19.07158,1.197403,1.0172945,0.0,gmm2,48.26496214447028,0.01,0.6156490290398695,0.0,False,,
6440133998124391552,287.502033562757,-60.78122812045122,0.923635621320274,0.8715378,2.726473937549679,0.8046744,-11.864083853399888,0.737083,20.320675,20.573689,19.59456,0.9791279,1.1156182,0.0,gmm2,48.23158596611791,0.01,0.4740329149489711,0.0,False,,
6440134036777958016,287.5533157712206,-60.75675426634251,2.274127215940453,0.7200908,-0.0883491733396657,0.5939703,-4.959317592558593,0.5042495,20.09511,20.564896,19.362673,1.2022228,1.1023268,0.0,gmm2,46.58932483254768,0.01,0.8868803394900873,0.0,False,,
6440134105498426240,287.53983345700925,-60.757578653030016,0.9161391463828644,0.94875383,4.531082898142111,0.93119884,-10.654913721399147,0.8305521,20.452724,21.271357,19.405548,1.8658085,1.0798541,0.0,gmm2,46.682898513512434,0.01,0.0001515239456812,0.0,False,,
6440134822758022144,287.27584630630884,-60.846454829773606,0.0982698369142698,0.17274551,-1.0035694493385092,0.14487869,-7.085976366495693,0.14157873,18.50015,18.879011,17.983889,0.8951225,0.99255526,0.0,gmm2,53.38028675920833,0.01,0.4563246340679272,0.0,False,,
6440135028916501120,287.3203109661478,-60.81513471373249,0.2659919866364327,0.15323406,14.350428339836968,0.13136561,-9.18417500812542,0.1280286,18.329815,19.05536,17.552965,1.5023956,0.98217404,0.0,gmm2,51.23539611252404,0.01,1.2984365851574641e-43,0.0,False,,
6440135269434710400,287.34502912847773,-60.7840265348447,0.4475254018249308,0.2906042,4.186706133842345,0.25087458,-3.4821025959521035,0.21208742,19.238504,19.812963,18.617002,1.195961,0.93364114,0.0,gmm2,49.2484224037886,0.01,0.0133052724057851,0.0,False,,
6440135613032327552,287.2025425034811,-60.80932342740383,0.4518437454408833,0.37637913,4.548351982005663,0.32583338,-8.994617696578043,0.28355476,19.609907,20.017576,19.058456,0.9591198,0.99555445,0.0,gmm2,51.83745570825806,0.01,0.6751371434285579,0.0,False,,
6440136235802197120,287.26344871576765,-60.75528704296163,-0.7184323790207302,0.7584483,0.460085231599024,0.7211087,-5.437163496651803,0.69534045,20.441076,20.874372,19.73627,1.1381016,1.0485728,0.0,gmm2,48.204177060078365,0.01,0.9671549765787224,0.0,False,,
6440136476319426816,287.3715159075716,-60.80767035894652,0.345853192245346,0.28328803,-3.4470206884862904,0.27450442,-3.368122483309618,0.22668345,19.262043,19.637829,18.376741,1.2610874,0.94623053,0.9575730369648036,gmm2,50.46173757201084,0.01,0.0012154309961163,0.1221721761532645,False,,
6440136648119063552,287.48337023009606,-60.762380434798224,1.9112993225823025,0.93427414,3.487948026537152,1.0428329,0.1010223646861074,0.93717766,20.486734,21.101515,19.408922,1.6925926,1.1034607,0.0,gmm2,47.191154756851134,0.01,0.0073612052385388,0.0,False,,
6440136751201116288,287.3787247418064,-60.770646574616734,1.4878351924262778,0.4671511,3.34421948304412,0.42446798,1.5110116936453573,0.40795237,19.922108,20.933754,18.727396,2.206358,1.0526314,0.0,gmm2,48.243892648999896,0.01,6.709847471144046e-20,0.0,False,,
6440137090500889728,287.5092148675186,-60.74098689912638,-0.1384401193141125,0.27493644,0.955598904908189,0.23532885,-0.2012577926971171,0.20281847,19.1288,19.348118,18.726948,0.62117004,0.97702026,0.0,gmm2,45.81011824300786,0.0120719250725566,9.587028054917768e-05,0.0,False,,
6440137124860648064,287.5301690384763,-60.72321566059841,0.2267684331422979,0.10291221,0.7674160738209487,0.089951925,0.3018811599958547,0.0902773,17.618195,17.890568,17.137264,0.7533035,1.0200639,0.0,gmm2,44.67067595972931,0.016505568176652,0.909221129230062,0.0,False,,
6440137193580300032,287.5815225864296,-60.72537669486636,0.9106703989507008,0.39365444,7.281218675837182,0.38914442,-8.688489564676228,0.3220349,19.626953,20.78271,18.566608,2.2161007,0.9926274,0.0,gmm2,44.63248725916652,0.0166697150915818,1.440033294575874e-31,0.0,False,,
6440137468458050048,287.5656677809975,-60.699778968823885,0.2566117593952487,0.2151218,-0.9757468726016169,0.19512513,-5.497677072855486,0.16786593,18.690681,19.116692,18.135004,0.98168755,0.9993093,0.0,gmm2,43.15077300887206,0.0238851552855983,0.1260174231558652,0.0,False,,
6440137610192754304,287.39751631266074,-60.74329271241494,0.2222839092984994,0.08857183,3.8302288655415415,0.076877296,-3.582770926982512,0.07667272,17.45163,17.78064,16.975319,0.80532074,0.9817297,0.0,gmm2,46.52116328568152,0.01,0.0398450229723602,0.0,False,,
6440137640256700928,287.35650565935447,-60.74461949904445,0.1059229997248923,0.3770249,0.7107789048700508,0.35064715,-7.497382446154539,0.32330394,19.671915,20.104431,19.049809,1.0546227,1.0244561,0.0,gmm2,46.86791149800497,0.01,0.999129699732161,0.0,False,,
6440137674616674176,287.364857064792,-60.73433074840779,0.6176891471195263,0.24576727,-7.110818984478062,0.22500248,-12.835883107393922,0.20225684,19.06964,20.081175,18.031752,2.0494232,1.0663006,0.0,gmm2,46.2094997510238,0.0107200637790095,9.498514252434673e-53,0.0,False,,
6440138228666080000,287.4920518299027,-60.68304101281954,-0.4543860724225222,0.42470732,0.1759406314347638,0.3794986,-3.5666320703604075,0.34082207,19.708921,20.162212,19.128952,1.0332603,0.9646945,0.0,gmm2,42.44733104007897,0.0279294677265538,0.9475503745755546,0.0,False,,
